Time[s];Supply_P[bar];EPU_P[bar];R1_P[bar];R2_P[bar];R3_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.2842;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2855;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2867;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2880;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2892;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2905;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2917;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2930;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2942;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2955;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2967;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2980;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.2992;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3005;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3017;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3030;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3042;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3055;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3067;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3080;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3092;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3105;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3117;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3130;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3142;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.3155;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
