Time[s];Supply_P[bar];Exhaust_P[bar];CV1_P[bar];R1_P[bar];R2_P[bar];Junction_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.1803;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1813;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1823;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1833;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1843;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1853;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1863;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1873;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1883;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1893;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1903;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1913;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1923;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1933;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1943;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1953;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1963;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1973;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1983;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.1993;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2003;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2013;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2023;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2033;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2043;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2053;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2063;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2073;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2083;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2093;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2103;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2113;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2123;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2133;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2143;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2153;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2163;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2173;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2183;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2193;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2203;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2213;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2223;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2233;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2243;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2253;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2263;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2273;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2283;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2293;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2303;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2313;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2323;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2333;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2343;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2353;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2363;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2373;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2383;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2393;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2403;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2413;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2423;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2433;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2443;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2453;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2463;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2473;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2483;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2493;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2505;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2517;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2530;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2542;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2555;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
